baseline,n,f,mode,input_rate,rep,consensus_tps,consensus_latency_ms,execution_tps,execution_latency_ms,slots_committed
pompe,10,3,ol,500,1,365.53,864.5341,365.53,864.5341,
pompe,10,3,ol,1000,1,604.9,2059.4177,604.9,2059.4177,
pompe,10,3,ol,2000,1,36.67,1518.3266,36.67,1518.3266,
pompe,10,3,ol,4000,1,8.77,2610.5216,8.77,2610.5216,
pompe,10,3,ol,6000,1,1.28,15980.2011,1.28,15980.2011,
pompe,10,3,ol,8000,1,0.77,17954.4018,0.77,17954.4018,
pompe,10,3,ol,10000,1,2.57,36764.4864,2.57,36764.4864,
pompe,10,3,ol,12000,1,0.0,0.0,0.0,0.0,
pompe,10,3,ol,15000,1,1.85,66633.707,1.85,66633.707,
pompe,16,5,ol,500,1,4.88,988.157,4.88,988.157,
pompe,16,5,ol,1000,1,3.63,725.4385,3.63,725.4385,
pompe,16,5,ol,2000,1,3.07,1553.4599,3.07,1553.4599,
pompe,16,5,ol,4000,1,1.47,7638.5374,1.47,7638.5374,
pompe,16,5,ol,6000,1,2.67,43155.1831,2.67,43155.1831,
pompe,16,5,ol,8000,1,2.07,56052.6579,2.07,56052.6579,
pompe,16,5,ol,10000,1,0.0,0.0,0.0,0.0,
pompe,16,5,ol,12000,1,0.0,0.0,0.0,0.0,
pompe,16,5,ol,15000,1,0.0,0.0,0.0,0.0,
pompe,22,7,ol,500,1,5.38,760.0135,5.38,760.0135,
pompe,22,7,ol,1000,1,3.77,1271.5584,3.77,1271.5584,
pompe,22,7,ol,2000,1,45.95,19284.5909,45.95,19284.5909,
pompe,22,7,ol,4000,1,1.42,31503.5759,1.42,31503.5759,
pompe,22,7,ol,6000,1,0.95,55168.4673,0.95,55168.4673,
pompe,22,7,ol,8000,1,0.0,0.0,0.0,0.0,
pompe,22,7,ol,10000,1,0.0,0.0,0.0,0.0,
pompe,22,7,ol,12000,1,0.0,0.0,0.0,0.0,
pompe,22,7,ol,15000,1,0.0,0.0,0.0,0.0,
pompe,10,3,ol,500,2,182.1000,714.4323,182.1000,714.4323,
pompe,10,3,ol,1000,2,8.3667,985.8889,8.3667,985.8889,
pompe,10,3,ol,2000,2,23.9500,1353.8194,23.9500,1353.8194,
pompe,10,3,ol,4000,2,2.9667,2765.9849,2.9667,2765.9849,
pompe,10,3,ol,6000,2,3.9000,14635.1371,3.9000,14635.1371,
pompe,10,3,ol,8000,2,6.7000,22625.1880,6.7000,22625.1880,
pompe,10,3,ol,10000,2,6.1833,45164.7408,6.1833,45164.7408,
pompe,10,3,ol,12000,2,4.8167,50619.5526,4.8167,50619.5526,
pompe,10,3,ol,15000,2,0.0000,0.0000,0.0000,0.0000,
pompe,16,5,ol,500,2,6.6333,941.4591,6.6333,941.4591,
pompe,16,5,ol,1000,2,9.3500,1206.5526,9.3500,1206.5526,
